源分域,子目录,原路径,字节,首行H1,前3行
第二大脑-10-SaaS,规范,第二大脑-10-SaaS\00-规范\安全边界.md,319,安全边界.md,# 安全边界.md |  | > 本实例 Agent 禁止操作范围。
第二大脑-10-SaaS,规范,第二大脑-10-SaaS\00-规范\结构规范.md,349,结构规范.md,# 结构规范.md |  | > 本实例结构约束来源。
第二大脑-10-SaaS,规范,第二大脑-10-SaaS\00-规范\页面规范.md,310,页面规范.md,# 页面规范.md |  | > 本实例页面格式。
第二大脑-10-SaaS,状态,第二大脑-10-SaaS\01-状态\已确认决策.md,484,已确认决策.md,# 已确认决策.md |  | > 用户已确认的决策摘要。
第二大脑-10-SaaS,状态,第二大脑-10-SaaS\01-状态\当前状态.md,590,当前状态.md,# 当前状态.md |  | > 本实例当前真实状态。
第二大脑-10-SaaS,状态,第二大脑-10-SaaS\01-状态\待确认问题.md,337,待确认问题.md,# 待确认问题.md |  | > 本实例未决问题。
第二大脑-10-SaaS,状态,第二大脑-10-SaaS\01-状态\技术债台账.md,209,技术债台账.md,# 技术债台账.md |  | > 本实例技术债与遗留。
第二大脑-10-SaaS,状态,第二大脑-10-SaaS\01-状态\资料来源.md,714,资料来源.md,# 资料来源.md |  | > 本实例 read-only 资料源登记。
第二大脑-10-SaaS,总览,第二大脑-10-SaaS\02-总览\主要内容.md,547,主要内容.md,# 主要内容.md |  | > 本实例核心内容速查。
第二大脑-10-SaaS,总览,第二大脑-10-SaaS\02-总览\术语表.md,444,术语表.md,# 术语表.md |  | > 本实例统一口径。
第二大脑-10-SaaS,总览,第二大脑-10-SaaS\02-总览\来源说明.md,206,来源说明.md,# 来源说明.md |  | > 本实例源 vault 位置。
第二大脑-10-SaaS,总览,第二大脑-10-SaaS\02-总览\结构地图.md,306,结构地图.md,# 结构地图.md |  | > 本实例结构关系。
第二大脑-10-SaaS,总览,第二大脑-10-SaaS\02-总览\项目概览.md,804,项目概览.md,# 项目概览.md |  | > 抖音团长 SaaS V1 项目背景。
